x-spline, y-spline, z-spline, radius
1384.000,0.000,0.000,25.393
1386.000,0.000,0.000,25.418
1388.000,0.000,0.000,25.443
1390.000,0.000,0.000,25.468
1392.000,0.000,0.000,25.494
1394.000,0.000,0.000,25.519
1396.000,0.000,0.000,25.544
1398.000,0.000,0.000,25.569
1400.000,0.000,0.000,25.595
1402.000,0.000,0.000,25.620
1404.000,0.000,0.000,25.645
1406.000,0.000,0.000,25.671
1408.000,0.000,0.000,25.696
1410.000,0.000,0.000,25.721
1412.000,0.000,0.000,25.746
1414.000,0.000,0.000,25.772
1416.000,0.000,0.000,25.797
1418.000,0.000,0.000,25.822
1420.000,0.000,0.000,25.847
1422.000,0.000,0.000,25.873
1424.000,0.000,0.000,25.898
1426.000,0.000,0.000,25.923
1428.000,0.000,0.000,25.948
1430.000,0.000,0.000,25.974
1432.000,0.000,0.000,25.999
1434.000,0.000,0.000,26.024
1436.000,0.000,0.000,26.049
1438.000,0.000,0.000,26.075
1440.000,0.000,0.000,26.100
1442.000,0.000,0.000,26.125
1444.000,0.000,0.000,26.151
1446.000,0.000,0.000,26.176
1448.000,0.000,0.000,26.201
1450.000,0.000,0.000,26.226
1452.000,0.000,0.000,26.252
1454.000,0.000,0.000,26.277
1456.000,0.000,0.000,26.302
1458.000,0.000,0.000,26.327
1460.000,0.000,0.000,26.353
1462.000,0.000,0.000,26.378
1464.000,0.000,0.000,26.403
1466.000,0.000,0.000,26.428
1468.000,0.000,0.000,26.454
1470.000,0.000,0.000,26.479
1472.000,0.000,0.000,26.504
1474.000,0.000,0.000,26.529
1476.000,0.000,0.000,26.555
1478.000,0.000,0.000,26.580
1480.000,0.000,0.000,26.605
1482.000,0.000,0.000,26.631
1484.000,0.000,0.000,26.656
1486.000,0.000,0.000,26.681
1488.000,0.000,0.000,26.706
1490.000,0.000,0.000,26.732
1492.000,0.000,0.000,26.757
1494.000,0.000,0.000,26.782
1496.000,0.000,0.000,26.807
1498.000,0.000,0.000,26.833
1500.000,0.000,0.000,26.858
1502.000,0.000,0.000,26.883
1504.000,0.000,0.000,26.908
1506.000,0.000,0.000,26.934
1508.000,0.000,0.000,26.959
1510.000,0.000,0.000,26.984
1512.000,0.000,0.000,27.009
1514.000,0.000,0.000,27.035
1516.000,0.000,0.000,27.060
1518.000,0.000,0.000,27.085
1520.000,0.000,0.000,27.111
1522.000,0.000,0.000,27.136
1524.000,0.000,0.000,27.161
1526.000,0.000,0.000,27.186
1528.000,0.000,0.000,27.212
1530.000,0.000,0.000,27.237
1532.000,0.000,0.000,27.262
1534.000,0.000,0.000,27.287
1536.000,0.000,0.000,27.313
1538.000,0.000,0.000,27.338
1540.000,0.000,0.000,27.363
1542.000,0.000,0.000,27.388
1544.000,0.000,0.000,27.414
1546.000,0.000,0.000,27.439
1548.000,0.000,0.000,27.464
1550.000,0.000,0.000,27.489
1552.000,0.000,0.000,27.515
1554.000,0.000,0.000,27.540
1556.000,0.000,0.000,27.565
1558.000,0.000,0.000,27.591
1560.000,0.000,0.000,27.616
1562.000,0.000,0.000,27.641
1564.000,0.000,0.000,27.666
1566.000,0.000,0.000,27.692
1568.000,0.000,0.000,27.717
1570.000,0.000,0.000,27.742
1572.000,0.000,0.000,27.767
1574.000,0.000,0.000,27.793
1576.000,0.000,0.000,27.818
1578.000,0.000,0.000,27.843
1580.000,0.000,0.000,27.868
1582.000,0.000,0.000,27.894
1584.000,0.000,0.000,27.919
1586.000,0.000,0.000,27.944
1588.000,0.000,0.000,27.969
1590.000,0.000,0.000,27.995
1592.000,0.000,0.000,28.020
1594.000,0.000,0.000,28.045
1596.000,0.000,0.000,28.071
1598.000,0.000,0.000,28.096
1600.000,0.000,0.000,28.121
